DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150453,586,586,2,4.31,4.31,4.31,7.3492,7.3492,7.3492
59150454,673,673,3,5.58,5.58,5.58,8.2924,8.2924,8.2924
59150455,843,843,3,8.65,8.65,8.65,10.256,10.256,10.256
59150457,743,743,0,0.0,0.0,0.0,0.0,0.0,0.0
59150459,564,564,0,0.0,0.0,0.0,0.0,0.0,0.0
59150460,515,515,0,0.0,0.0,0.0,0.0,0.0,0.0
59150461,352,352,2,5.12,5.12,5.12,14.5462,14.5462,14.5462
59150462,403,403,2,5.12,5.12,5.12,12.7054,12.7054,12.7054
59150463,608,608,1,1.51,1.51,1.51,2.4886,2.4886,2.4886
59150465,554,554,0,0.0,0.0,0.0,0.0,0.0,0.0
59150466,505,505,1,6.9,6.9,6.9,13.6624,13.6624,13.6624
59150468,571,571,1,6.9,6.9,6.9,12.0832,12.0832,12.0832
59150469,599,599,1,6.9,6.9,6.9,11.5184,11.5184,11.5184
59150470,536,536,1,6.9,6.9,6.9,12.8722,12.8722,12.8722
59150471,679,679,0,0.0,0.0,0.0,0.0,0.0,0.0
59150472,492,492,0,0.0,0.0,0.0,0.0,0.0,0.0
59150473,680,680,1,13.79,13.79,10.0,20.2729,20.2729,14.7059
59150474,705,705,0,0.0,0.0,0.0,0.0,0.0,0.0
59150475,762,762,1,13.79,13.79,10.0,18.0913,18.0913,13.1234
59150476,929,929,1,13.79,13.79,10.0,14.8392,14.8392,10.7643
59150477,628,628,1,7.13,7.13,7.13,11.3559,11.3559,11.3559
59150478,792,792,1,7.13,7.13,7.13,9.0044,9.0044,9.0044
59150479,464,464,1,7.13,7.13,7.13,15.3696,15.3696,15.3696
59150480,553,553,1,7.13,7.13,7.13,12.896,12.896,12.896
59150481,434,434,1,7.13,7.13,7.13,16.4321,16.4321,16.4321
59150482,853,853,0,0.0,0.0,0.0,0.0,0.0,0.0
59150483,503,503,0,0.0,0.0,0.0,0.0,0.0,0.0
59150484,689,689,0,0.0,0.0,0.0,0.0,0.0,0.0
59150485,565,565,0,0.0,0.0,0.0,0.0,0.0,0.0
59150486,547,547,1,5.33,5.33,5.33,9.738,9.738,9.738
59150487,810,810,1,5.33,5.33,5.33,6.5762,6.5762,6.5762
59150488,2132,2132,2,5.84,5.84,5.84,2.7393,2.7393,2.7393
59150489,1053,1053,2,5.84,5.84,5.84,5.5463,5.5463,5.5463
59150490,575,575,1,0.51,0.51,0.51,0.8931,0.8931,0.8931
59150491,475,475,1,0.51,0.51,0.51,1.0811,1.0811,1.0811
59150492,603,603,1,0.51,0.51,0.51,0.8516,0.8516,0.8516
59150493,426,426,1,0.9,0.9,0.9,2.1147,2.1147,2.1147
59150494,390,390,1,0.9,0.9,0.9,2.3099,2.3099,2.3099
59150495,624,624,4,1.99,1.99,1.99,3.1911,3.1911,3.1911
59150496,574,574,2,1.32,1.32,1.32,2.3027,2.3027,2.3027
59150497,605,605,2,1.32,1.32,1.32,2.1847,2.1847,2.1847
59150498,612,612,2,1.32,1.32,1.32,2.1598,2.1598,2.1598
59150499,590,590,2,0.69,0.69,0.69,1.1704,1.1704,1.1704
59150500,724,724,3,1.59,1.59,1.59,2.1981,2.1981,2.1981
59150503,592,592,2,0.68,0.68,0.68,1.1461,1.1461,1.1461
59150504,1080,1080,3,11.86,11.86,11.86,10.9848,10.9848,10.9848
59150505,662,662,2,3.33,3.33,3.33,5.0274,5.0274,5.0274
59150506,344,344,2,3.33,3.33,3.33,9.6748,9.6748,9.6748
59150507,522,522,2,1.23,1.23,1.23,2.3601,2.3601,2.3601
59150508,494,494,3,3.62,3.62,3.62,7.3206,7.3206,7.3206
59150509,463,463,2,3.12,3.12,3.12,6.7481,6.7481,6.7481
59150510,453,453,0,0.0,0.0,0.0,0.0,0.0,0.0
59150511,1181,1181,1,0.29,0.29,0.29,0.2441,0.2441,0.2441
59150512,507,507,0,0.0,0.0,0.0,0.0,0.0,0.0
59150513,502,502,1,0.29,0.29,0.29,0.5742,0.5742,0.5742
59150514,587,587,0,0.0,0.0,0.0,0.0,0.0,0.0
59150515,380,380,0,0.0,0.0,0.0,0.0,0.0,0.0
59150516,471,471,0,0.0,0.0,0.0,0.0,0.0,0.0
59150517,410,410,1,0.93,0.93,0.93,2.2804,2.2804,2.2804
59150518,428,428,1,5.04,5.04,5.04,11.7668,11.7668,11.7668
59150519,853,853,2,5.97,5.97,5.97,7.0001,7.0001,7.0001
59150520,1036,1036,1,5.04,5.04,5.04,4.8612,4.8612,4.8612
59150521,637,637,3,9.04,9.04,9.04,14.1911,14.1911,14.1911
59150522,645,645,2,4.0,4.0,4.0,6.2071,6.2071,6.2071
59150523,694,694,2,3.84,3.84,3.84,5.5395,5.5395,5.5395
59150524,541,541,0,0.0,0.0,0.0,0.0,0.0,0.0
59150526,571,571,1,7.13,7.13,7.13,12.4895,12.4895,12.4895
59150527,718,718,1,7.13,7.13,7.13,9.9325,9.9325,9.9325
59150529,562,562,1,1.06,1.06,1.06,1.8777,1.8777,1.8777
59150530,544,544,1,1.06,1.06,1.06,1.9399,1.9399,1.9399
59150531,783,783,2,14.84,14.84,11.06,18.9539,18.9539,14.1191
59150534,521,521,1,53.28,20.0,10.0,102.2736,38.3877,19.1939
59150535,641,641,2,1.42,1.42,1.42,2.2181,2.2181,2.2181
59150536,517,517,2,53.65,20.37,10.37,103.7739,39.3937,20.0513
59150537,560,560,1,0.37,0.37,0.37,0.6545,0.6545,0.6545
59150538,677,677,3,62.22,28.93,18.93,91.8992,42.7344,27.9634
59150539,484,484,1,53.28,20.0,10.0,110.092,41.3223,20.6612
59150540,630,630,2,56.07,22.79,12.79,89.0059,36.1732,20.3002
59150541,787,787,1,2.79,2.79,2.79,3.544,3.544,3.544
59150542,528,528,1,53.28,20.0,10.0,100.9177,37.8788,18.9394
59150543,1525,1525,2,58.02,24.74,14.74,38.0487,16.2228,9.6654
59150544,787,787,1,5.04,5.04,5.04,6.3992,6.3992,6.3992
59150545,931,931,3,80.39,44.74,24.74,86.3434,48.0555,26.5733
59150546,733,733,0,0.0,0.0,0.0,0.0,0.0,0.0
59150547,528,528,1,5.04,5.04,5.04,9.5382,9.5382,9.5382
59150548,352,352,1,5.04,5.04,5.04,14.3073,14.3073,14.3073
