park_id,source,park_name,area_ha,place_id,match_flag,notes,place_id_list,in_file06,in_neither
Vancouver_74,Vancouver,Creekside Park,2.542944538408232,ChIJdT38dmRxhlQRq93GlaDNzn4,exact,,['ChIJdT38dmRxhlQRq93GlaDNzn4'],True,False
Vancouver_75,Vancouver,Mosaic Creek Park,0.1131386121750755,ChIJAStCZUBxhlQRNnG7eEcbtxw,exact,,['ChIJAStCZUBxhlQRNnG7eEcbtxw'],True,False
Vancouver_76,Vancouver,Thornton Park,1.4980376266211524,ChIJDyI5MmRxhlQRgNoRd-LruNU,exact,,['ChIJDyI5MmRxhlQRgNoRd-LruNU'],True,False
Vancouver_77,Vancouver,Grandview Park,0.8935237578660881,ChIJlRlWCz9xhlQREiA2lK11iBA,exact,,['ChIJlRlWCz9xhlQREiA2lK11iBA'],True,False
Vancouver_78,Vancouver,Trillium Park,2.983335770231069,ChIJqe3omWVxhlQRnQQZik9OmLk,exact,,['ChIJqe3omWVxhlQRnQQZik9OmLk'],True,False
Vancouver_79,Vancouver,Strathcona Park,10.101651413974784,ChIJSyp71WtxhlQReZtp3mzmPnY,exact,,['ChIJSyp71WtxhlQReZtp3mzmPnY'],True,False
Vancouver_80,Vancouver,Strathcona Linear Park,0.5047844091443482,ChIJGc_YA2xxhlQRYCN8Qrra0a4,exact,,['ChIJGc_YA2xxhlQRYCN8Qrra0a4'],True,False
Vancouver_81,Vancouver,Salsbury Park,0.2409914895208215,ChIJhQHU_z1xhlQRMzIBq7vJ02A,exact,,['ChIJhQHU_z1xhlQRMzIBq7vJ02A'],True,False
Burnaby_82,Burnaby,WILLINGDON HEIGHTS PARK,5.784743445779543,ChIJk3MmTC13hlQRpBc5ngzc9rI,exact,,['ChIJk3MmTC13hlQRpBc5ngzc9rI'],False,True
Vancouver_83,Vancouver,Adanac Park,4.183695111902693,ChIJc-9iJdFwhlQRLBxxhG8Aos0,exact,,['ChIJc-9iJdFwhlQRLBxxhG8Aos0'],True,False
Burnaby_84,Burnaby,WEST-SELLS PARK,0.8960379531620521,ChIJr_LGGFtxhlQRC5VWE8jAYHA,exact,,['ChIJr_LGGFtxhlQRC5VWE8jAYHA'],False,True
Vancouver_85,Vancouver,Fraser River Trail Park,0.3998048901977025,ChIJkZyYPuh0hlQR-O6-mDuHWKY,uncertain,"Used ""hudson gateway""",['ChIJkZyYPuh0hlQR-O6-mDuHWKY'],True,False
Vancouver_86,Vancouver,Park Site On Shaughnessy Street,0.5625382674414603,ChIJATo6iOV0hlQRFQbsRk6mgH0,fuzzy,,['ChIJATo6iOV0hlQRFQbsRk6mgH0'],True,False
