DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150613,4.0,747.0,633.0,747.0,0.8473895582329317,1.0
59150614,4.0,662.0,0.0,662.0,0.0,1.0
59150615,4.0,499.0,398.0,499.0,0.7975951903807615,1.0
59150616,3.0,588.0,258.0,588.0,0.4387755102040816,1.0
59150617,2.0,544.0,544.0,544.0,1.0,1.0
59150618,3.0,650.0,650.0,650.0,1.0,1.0
59150619,3.0,637.0,637.0,637.0,1.0,1.0
59150620,4.0,559.0,434.0,559.0,0.776386404293381,1.0
59150621,3.0,463.0,302.0,463.0,0.652267818574514,1.0
59150622,2.0,476.0,476.0,476.0,1.0,1.0
59150623,2.0,494.0,494.0,494.0,1.0,1.0
