DAUID,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks
59150861,1970.0315,0.4601,4.05,66.7,3,2
59150863,2149.7418,0.4601,4.05,66.7,3,2
59150864,7304.8544,0.5439,4.1667,75.0,4,3
59150865,1951.4107,0.4601,4.05,100.0,2,2
59150866,2050.9091,0.459,4.0,100.0,1,1
59150871,1827.5862,0.7384,4.3,100.0,2,2
59150872,2391.924,0.7384,4.3,100.0,2,2
59150873,1896.4218,0.7384,4.3,100.0,2,2
59150874,1645.4248,0.7384,4.3,100.0,2,2
59150875,132.4376,0.6895,4.1,100.0,1,1
59150876,120.2091,0.6895,4.1,100.0,1,1
59150877,202.9412,0.6895,4.1,100.0,1,1
59150878,128.2528,0.6895,4.1,100.0,1,1
59150879,,,,,0,0
59150880,,,,,0,0
59150881,6951.2987,0.7195,4.38,100.0,5,5
59150882,6560.5634,0.7239,4.3667,100.0,6,6
59150883,12826.5306,0.7172,4.3333,100.0,9,9
59150884,8101.3825,0.7526,4.4,100.0,4,4
59150885,8884.434,0.8037,4.5333,75.0,4,3
59150886,347.9924,0.8082,4.6,50.0,2,1
59150887,337.7863,0.8082,4.6,100.0,1,1
59150888,,,,,0,0
59150889,,,,,0,0
59150890,,,,,0,0
59150891,,,,,0,0
59150892,1684.5966,0.771,4.5,100.0,1,1
59150893,,,,,0,0
59150894,1113.0856,0.771,4.5,50.0,2,1
59150895,,,,,0,0
59150896,,,,,0,0
59150897,29.9501,,,0.0,2,0
59150898,34.5489,,,0.0,1,0
59150899,62.0155,0.5552,4.2,50.0,2,1
59150900,653.3958,0.7354,4.4,100.0,1,1
59150901,614.5374,0.7354,4.4,100.0,1,1
59150902,550.2646,0.6453,4.3,100.0,2,2
59150903,69.6203,0.5552,4.2,100.0,1,1
59150904,655.4622,0.6453,4.3,100.0,2,2
59150905,62.5,0.5552,4.2,100.0,1,1
59150906,,,,,0,0
59150907,,,,,0,0
59150908,328.3019,0.6342,4.2,100.0,1,1
59150909,735.5865,0.6435,4.3,100.0,1,1
59150910,780.5907,0.6435,4.3,100.0,1,1
59150911,663.0824,0.6435,4.3,100.0,1,1
59150912,766.0455,0.6435,4.3,100.0,1,1
59150913,781.0078,0.5994,4.25,100.0,2,2
59150914,71.7391,0.5552,4.2,100.0,1,1
59150915,,,,,0,0
59150916,87.5274,0.5552,4.2,50.0,2,1
59150917,78.2779,0.5552,4.2,50.0,2,1
59150918,16.0183,,,0.0,1,0
59150919,14.6751,,,0.0,1,0
59150920,14.4033,,,0.0,1,0
59150922,,,,,0,0
59150923,,,,,0,0
59150924,,,,,0,0
59150925,313.8298,0.8082,4.6,100.0,1,1
59150926,245.4924,0.8082,4.6,100.0,1,1
59150927,293.0464,0.8082,4.6,100.0,1,1
59150928,,,,,0,0
59150929,444.7236,0.8082,4.6,100.0,1,1
59150930,631.3364,0.7284,4.25,100.0,2,2
59150931,585.8586,0.7992,4.5333,75.0,4,3
59150932,515.9705,0.746,4.3,75.0,4,3
59150933,468.0365,0.746,4.3,100.0,3,3
59150934,365.5172,0.6802,4.05,100.0,2,2
59150935,246.1929,0.6485,3.9,100.0,1,1
