park_id,playground,sports_fields,courts,trails,dog_offleash,water_play,beach_waterfront,picnic,washroom,community_garden,seating_shelter,n_reviews,park_name,area_ha,amenity_type_count
Vancouver_37,1,0,0,0,0,0,0,0,0,0,0,9,Humm Park,0.4721341779626462,1
Vancouver_38,0,0,1,0,0,0,0,0,0,0,0,31,Captain Cook Park,5.502350591445502,1
Vancouver_39,1,1,0,0,1,0,0,0,1,0,1,396,Killarney Park,13.398396050141994,5
Vancouver_41,1,1,0,0,0,0,0,0,1,0,0,50,Earles Park,1.5884013920979632,3
Vancouver_42,1,1,1,0,0,0,0,0,0,0,1,150,Gaston Park,1.5072425630239386,4
Vancouver_43,0,0,1,0,0,0,0,0,0,0,0,31,Melbourne Park,0.4896656403396807,1
Vancouver_44,1,1,0,0,0,0,0,0,0,0,0,22,Cartier Park,0.3665449791075457,2
Vancouver_45,1,1,0,0,0,0,0,0,1,0,0,192,Kensington Park,5.768300829266355,3
Vancouver_46,1,0,1,0,0,1,0,1,1,0,1,127,Grays Park,1.6172951156451676,6
Vancouver_47,1,1,0,0,0,0,0,0,1,1,1,182,Riley Park,2.705905344236207,5
Vancouver_48,1,1,1,0,0,0,0,0,1,0,1,357,Hillcrest Park,7.533767664570319,5
Vancouver_49,1,0,1,0,1,0,0,0,1,1,1,58,Kingcrest Park,2.4760567998351717,6
Vancouver_50,1,1,1,0,0,0,0,0,1,1,1,61,Brewers Park,1.3867419304657047,6
Vancouver_51,1,0,1,0,0,0,0,0,1,0,1,92,Glen Park,1.094707183737018,4
Vancouver_52,1,1,0,0,0,1,0,0,1,0,1,136,Prince Edward Park,1.217281654082649,5
Vancouver_53,1,1,1,0,0,1,0,0,1,1,1,224,Norquay Park,2.2711646173653475,7
Vancouver_54,1,1,1,0,0,0,0,0,1,0,0,38,Collingwood Park,1.2710970318952042,4
Vancouver_55,1,0,0,0,0,0,0,0,0,0,1,15,Carleton Park,0.6846958778105309,2
Vancouver_56,1,0,1,0,0,1,0,0,1,1,1,235,Slocan Park,4.215052562860889,6
Vancouver_57,1,0,0,0,0,0,0,0,0,0,1,80,General Brock Park,2.163500758658856,2
Vancouver_58,1,0,0,0,0,0,0,0,0,0,0,23,Cariboo Park,0.7686569135310117,1
Vancouver_59,0,0,0,0,0,0,0,0,0,0,0,89,Renfrew Ravine Park,6.142911707986188,0
Vancouver_60,1,1,0,1,1,0,0,0,1,0,1,338,Renfrew Community Park,5.015662018149384,6
Vancouver_61,1,1,1,1,1,0,1,1,1,0,1,1628,John Hendry (Trout Lake) Park,27.39301499480162,9
Vancouver_62,1,1,0,0,0,0,0,0,1,1,0,146,Beaconsfield Park,4.445567960476784,4
Vancouver_63,1,0,0,0,0,0,0,0,1,0,1,138,Falaise Park,7.589311685737394,3
Vancouver_64,1,0,1,0,0,0,0,0,1,0,0,40,Kaslo Park,0.4472390009223489,3
Vancouver_65,1,1,0,0,0,1,0,0,1,0,0,180,Sunrise Park,3.18610429517952,4
Vancouver_66,1,1,1,0,0,1,0,0,1,0,1,81,Garden Park,0.9699779331201226,6
Vancouver_67,1,0,0,0,0,0,0,0,0,0,0,16,Thunderbird Park,0.8950338277748151,1
Vancouver_68,1,1,1,0,0,1,0,0,1,0,0,204,Clinton Park,3.0522401919037216,5
Vancouver_69,1,1,0,0,0,0,0,0,1,0,1,133,Rupert Park,11.837228233496882,4
Vancouver_70,0,0,0,0,0,0,0,0,0,0,0,37,Charles Park,1.5422343147649853,0
Vancouver_71,1,1,1,0,0,0,0,0,0,0,0,35,Templeton Park,1.9329342746641145,3
Vancouver_72,0,0,0,0,0,0,0,0,0,0,0,64,Hastings Community Park,4.2008387179504165,0
Vancouver_73,1,0,0,0,0,0,0,0,1,0,1,139,Victoria Park,0.8905987372733684,3
Vancouver_74,1,0,0,1,0,0,1,0,1,0,1,1159,Creekside Park,2.542944538408232,5
Vancouver_75,0,0,0,0,0,0,0,0,0,0,1,32,Mosaic Creek Park,0.1131386121750755,1
Vancouver_76,0,0,0,0,0,0,0,0,0,0,1,32,Thornton Park,1.4980376266211524,1
Vancouver_77,1,0,1,0,0,1,0,0,1,1,1,451,Grandview Park,0.8935237578660881,6
Vancouver_78,1,1,0,0,0,0,0,0,1,0,1,215,Trillium Park,2.983335770231069,4
Vancouver_79,1,1,1,0,1,0,0,0,1,1,1,418,Strathcona Park,10.101651413974784,7
Vancouver_80,0,0,0,0,0,0,0,0,0,0,1,25,Strathcona Linear Park,0.5047844091443482,1
Vancouver_81,1,0,0,0,0,0,0,0,0,0,1,41,Salsbury Park,0.2409914895208215,2
Vancouver_83,1,1,0,0,0,0,0,0,1,1,1,143,Adanac Park,4.183695111902693,5
Vancouver_85,0,0,0,0,0,0,0,0,0,0,0,46,Fraser River Trail Park,0.3998048901977025,0
Vancouver_86,0,0,0,0,0,0,1,0,0,0,0,43,Park Site On Shaughnessy Street,0.5625382674414603,1
Vancouver_87,1,0,0,0,0,0,0,0,0,0,1,55,Marpole Park,0.2696471659896872,2
Vancouver_88,1,0,0,0,0,0,0,0,0,0,1,49,Ebisu Park,0.4209045465718337,2
Vancouver_89,1,0,1,0,0,0,0,0,0,0,1,34,William Mackie Park,0.4088436410218878,3
Vancouver_90,0,0,1,0,0,0,0,0,0,0,1,42,Eburne Park,0.9008658787533704,2
Vancouver_91,1,0,0,0,0,0,0,0,0,0,1,98,Ash Park,0.5135351908077846,2
Vancouver_92,0,1,0,0,0,0,0,0,0,0,0,32,Shannon Park,0.943705706788886,1
Vancouver_93,1,1,1,0,0,1,0,0,1,0,1,193,Oak Park,5.266789260162897,6
Vancouver_94,1,1,0,0,0,0,0,0,1,0,1,269,Winona Park,5.32670002426377,4
Vancouver_95,0,0,0,0,1,0,1,0,1,0,1,469,Fraser River Park,9.070290784799784,4
Vancouver_96,1,0,0,0,0,0,0,0,0,0,1,43,Riverview Park,2.3844258541140406,2
Vancouver_97,0,0,0,0,0,0,0,0,0,0,0,11,Arbutus Park,0.7399464288958901,0
Vancouver_98,0,0,0,0,0,0,1,0,0,0,1,56,Deering Island Park,0.6383976311579238,2
Vancouver_99,1,1,0,0,0,1,0,1,1,0,1,211,Maple Grove Park,4.208258995151404,6
